[2025-08-04 01:11:28] [INFO    ] discord.client: logging in using static token
[2025-08-04 01:11:29] [DEBUG   ] discord.http: GET https://discord.com/api/v10/users/@me with None has returned 200
[2025-08-04 01:11:29] [DEBUG   ] discord.http: GET /users/@me has found its initial rate limit bucket hash (78bb8553d9352a5a2f89f9def401287a).
[2025-08-04 01:11:29] [DEBUG   ] discord.http: GET https://discord.com/api/v10/users/@me has received {'id': '1401150952890699876', 'username': 'MonkeyBot', 'avatar': None, 'discriminator': '5886', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': None, 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': None, 'clan': None, 'primary_guild': None, 'mfa_enabled': True, 'locale': 'en-US', 'premium_type': 0, 'email': None, 'verified': True, 'bio': ''}
[2025-08-04 01:11:29] [DEBUG   ] discord.http: GET https://discord.com/api/v10/oauth2/applications/@me with None has returned 200
[2025-08-04 01:11:29] [DEBUG   ] discord.http: GET /oauth2/applications/@me has found its initial rate limit bucket hash (d28a133af187e91d71d96a223467ce49).
[2025-08-04 01:11:29] [DEBUG   ] discord.http: GET https://discord.com/api/v10/oauth2/applications/@me has received {'id': '1401150952890699876', 'name': 'MonkeyBot', 'icon': None, 'description': '', 'type': None, 'bot': {'id': '1401150952890699876', 'username': 'MonkeyBot', 'avatar': None, 'discriminator': '5886', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': None, 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': None, 'clan': None, 'primary_guild': None}, 'summary': '', 'is_monetized': False, 'is_verified': False, 'is_discoverable': False, 'bot_public': True, 'bot_require_code_grant': False, 'install_params': {'scopes': ['applications.commands'], 'permissions': '0'}, 'integration_types_config': {'0': {'oauth2_install_params': {'scopes': ['applications.commands'], 'permissions': '0'}}, '1': {'oauth2_install_params': {'scopes': ['applications.commands'], 'permissions': '0'}}}, 'verify_key': '83b65fabec70f990993b1a13897990bcd13fc2ca2ec43554a39e87c706ee7e3c', 'flags': 557056, 'hook': True, 'storefront_available': False, 'redirect_uris': [], 'interactions_endpoint_url': None, 'role_connections_verification_url': None, 'owner': {'id': '796829387705679912', 'username': 'sricharan106', 'avatar': '996662ac486f3c2fb7c0eaf7782af30e', 'discriminator': '0', 'public_flags': 0, 'flags': 0, 'banner': None, 'accent_color': 2369575, 'global_name': 'SriCharan', 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': '#242827', 'clan': None, 'primary_guild': None}, 'approximate_guild_count': 1, 'approximate_user_install_count': 0, 'approximate_user_authorization_count': 0, 'interactions_event_types': [], 'interactions_version': 1, 'explicit_content_filter': 0, 'rpc_application_state': 0, 'store_application_state': 1, 'verification_state': 1, 'integration_public': True, 'integration_require_code_grant': False, 'discoverability_state': 1, 'discovery_eligibility_flags': 2272, 'monetization_state': 1, 'verification_eligibility_flags': 123804, 'monetization_eligibility_flags': 247524, 'team': None, 'internal_guild_restriction': 2, 'approved_consoles': []}
[2025-08-04 01:11:29] [DEBUG   ] discord.gateway: Created websocket connected to wss://gateway.discord.gg/
[2025-08-04 01:11:29] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 10, 'd': {'heartbeat_interval': 41250, '_trace': ['["gateway-prd-arm-us-east1-c-rlbm",{"micros":0.0}]']}}
[2025-08-04 01:11:29] [DEBUG   ] discord.gateway: Shard ID None has sent the IDENTIFY payload.
[2025-08-04 01:11:30] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2025-08-04 01:11:30] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'READY', 's': 1, 'op': 0, 'd': {'v': 10, 'user_settings': {}, 'user': {'verified': True, 'username': 'MonkeyBot', 'primary_guild': None, 'mfa_enabled': True, 'id': '1401150952890699876', 'global_name': None, 'flags': 0, 'email': None, 'discriminator': '5886', 'clan': None, 'bot': True, 'avatar': None}, 'session_type': 'normal', 'session_id': 'b391507a1566ff7840802b8f5562d534', 'resume_gateway_url': 'wss://gateway-us-east1-c.discord.gg', 'relationships': [], 'private_channels': [], 'presences': [], 'guilds': [{'unavailable': True, 'id': '1401155132573356112'}], 'guild_join_requests': [], 'geo_ordered_rtc_regions': ['india', 'dubai', 'singapore', 'hongkong', 'tel-aviv'], 'game_relationships': [], 'auth': {}, 'application': {'id': '1401150952890699876', 'flags': 557056}, '_trace': ['["gateway-prd-arm-us-east1-c-rlbm",{"micros":312839,"calls":["id_created",{"micros":1065,"calls":[]},"session_lookup_time",{"micros":2410,"calls":[]},"session_lookup_finished",{"micros":12,"calls":[]},"discord-sessions-prd-2-95",{"micros":308770,"calls":["start_session",{"micros":293722,"calls":["discord-api-rpc-78c7f46d6-tkgpd",{"micros":212996,"calls":["get_user",{"micros":48979},"get_guilds",{"micros":11610},"send_scheduled_deletion_message",{"micros":23},"guild_join_requests",{"micros":4954},"authorized_ip_coro",{"micros":14},"pending_payments",{"micros":8834},"apex_experiments",{"micros":21796},"user_activities",{"micros":8},"played_application_ids",{"micros":14}]}]},"starting_guild_connect",{"micros":28,"calls":[]},"presence_started",{"micros":7279,"calls":[]},"guilds_started",{"micros":61,"calls":[]},"lobbies_started",{"micros":1,"calls":[]},"guilds_connect",{"micros":2,"calls":[]},"presence_connect",{"micros":7645,"calls":[]},"connect_finished",{"micros":7649,"calls":[]},"build_ready",{"micros":14,"calls":[]},"clean_ready",{"micros":1,"calls":[]},"optimize_ready",{"micros":0,"calls":[]},"split_ready",{"micros":0,"calls":[]}]}]}]']}}
[2025-08-04 01:11:30] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-08-04 01:11:30] [INFO    ] discord.gateway: Shard ID None has connected to Gateway (Session ID: b391507a1566ff7840802b8f5562d534).
[2025-08-04 01:11:30] [DEBUG   ] discord.client: Dispatching event connect
